date,Appliances,lights
11/01/2016 17:00,60,30
11/01/2016 17:10,60,30
11/01/2016 17:20,50,30
11/01/2016 17:30,50,40
11/01/2016 17:40,60,40
11/01/2016 17:50,50,40
11/01/2016 18:00,60,50
11/01/2016 18:10,60,50
11/01/2016 18:20,60,40
11/01/2016 18:30,70,40
11/01/2016 18:40,230,70
11/01/2016 18:50,580,60
11/01/2016 19:00,430,50
11/01/2016 19:10,250,40
11/01/2016 19:20,100,10
11/01/2016 19:30,100,10
11/01/2016 19:40,90,10
11/01/2016 19:50,70,30
11/01/2016 20:00,80,30
11/01/2016 20:10,140,40
11/01/2016 20:20,120,20
11/01/2016 20:30,190,40
11/01/2016 20:40,110,40
11/01/2016 20:50,110,40
11/01/2016 21:00,110,30
11/01/2016 21:10,110,20
11/01/2016 21:20,100,30
11/01/2016 21:30,100,20
11/01/2016 21:40,100,20
11/01/2016 21:50,100,20
11/01/2016 22:00,110,20
11/01/2016 22:10,400,20
11/01/2016 22:20,400,20
11/01/2016 22:30,390,30
11/01/2016 22:40,240,20
11/01/2016 22:50,60,20
11/01/2016 23:00,60,20
11/01/2016 23:10,60,20
11/01/2016 23:20,50,10
11/01/2016 23:30,70,20
11/01/2016 23:40,60,20
11/01/2016 23:50,40,20
12/01/2016 00:00,40,10
12/01/2016 00:10,30,20
12/01/2016 00:20,40,20
12/01/2016 00:30,50,20
12/01/2016 00:40,310,10
12/01/2016 00:50,380,20
12/01/2016 01:00,380,20
12/01/2016 01:10,370,20
12/01/2016 01:20,120,10
12/01/2016 01:30,50,0
12/01/2016 01:40,40,0
12/01/2016 01:50,50,0
12/01/2016 02:00,40,0
12/01/2016 02:10,50,0
12/01/2016 02:20,50,0
12/01/2016 02:30,50,0
12/01/2016 02:40,40,0
12/01/2016 02:50,40,0
12/01/2016 03:00,30,0
12/01/2016 03:10,20,0
12/01/2016 03:20,20,0
12/01/2016 03:30,40,0
12/01/2016 03:40,50,0
12/01/2016 03:50,50,0
12/01/2016 04:00,40,0
12/01/2016 04:10,50,0
12/01/2016 04:20,40,0
12/01/2016 04:30,40,0
12/01/2016 04:40,40,0
12/01/2016 04:50,60,0
12/01/2016 05:00,50,0
12/01/2016 05:10,50,0
12/01/2016 05:20,40,0
12/01/2016 05:30,40,0
12/01/2016 05:40,40,0
12/01/2016 05:50,40,0
12/01/2016 06:00,50,0
12/01/2016 06:10,70,10
12/01/2016 06:20,40,0
12/01/2016 06:30,30,0
12/01/2016 06:40,20,10
12/01/2016 06:50,30,0
12/01/2016 07:00,40,10
12/01/2016 07:10,50,10
12/01/2016 07:20,60,20
12/01/2016 07:30,60,20
12/01/2016 07:40,70,20
12/01/2016 07:50,60,30
12/01/2016 08:00,140,20
12/01/2016 08:10,110,30
12/01/2016 08:20,90,10
12/01/2016 08:30,60,0
12/01/2016 08:40,60,0
12/01/2016 08:50,60,0
12/01/2016 09:00,50,0
12/01/2016 09:10,60,0
12/01/2016 09:20,50,0
12/01/2016 09:30,30,0
12/01/2016 09:40,40,0
12/01/2016 09:50,30,0
12/01/2016 10:00,260,0
12/01/2016 10:10,500,0
12/01/2016 10:20,450,0
12/01/2016 10:30,50,10
12/01/2016 10:40,60,0
12/01/2016 10:50,60,0
12/01/2016 11:00,50,0
12/01/2016 11:10,50,0
12/01/2016 11:20,50,0
12/01/2016 11:30,60,0
12/01/2016 11:40,60,0
12/01/2016 11:50,60,0
12/01/2016 12:00,60,0
12/01/2016 12:10,190,0
12/01/2016 12:20,220,0
12/01/2016 12:30,170,0
12/01/2016 12:40,390,0
12/01/2016 12:50,90,0
12/01/2016 13:00,60,0
12/01/2016 13:10,290,0
12/01/2016 13:20,130,0
12/01/2016 13:30,140,0
12/01/2016 13:40,240,0
12/01/2016 13:50,50,0
12/01/2016 14:00,60,0
12/01/2016 14:10,60,0
12/01/2016 14:20,60,0
12/01/2016 14:30,370,0
12/01/2016 14:40,200,0
12/01/2016 14:50,70,0
12/01/2016 15:00,50,0
12/01/2016 15:10,40,0
12/01/2016 15:20,40,0
12/01/2016 15:30,30,0
12/01/2016 15:40,30,0
12/01/2016 15:50,30,0
12/01/2016 16:00,30,0
12/01/2016 16:10,40,0
12/01/2016 16:20,50,0
12/01/2016 16:30,40,0
12/01/2016 16:40,40,0
12/01/2016 16:50,40,0
12/01/2016 17:00,60,0
12/01/2016 17:10,60,10
12/01/2016 17:20,210,20
12/01/2016 17:30,380,20
12/01/2016 17:40,370,40
12/01/2016 17:50,230,30
12/01/2016 18:00,80,40
12/01/2016 18:10,90,30
12/01/2016 18:20,70,20
12/01/2016 18:30,40,10
12/01/2016 18:40,40,0
12/01/2016 18:50,30,0
12/01/2016 19:00,50,0
12/01/2016 19:10,50,0
12/01/2016 19:20,60,0
12/01/2016 19:30,50,0
12/01/2016 19:40,60,0
12/01/2016 19:50,60,0
12/01/2016 20:00,60,0
12/01/2016 20:10,50,0
12/01/2016 20:20,50,0
12/01/2016 20:30,50,0
12/01/2016 20:40,50,0
12/01/2016 20:50,50,0
12/01/2016 21:00,60,0
12/01/2016 21:10,60,0
12/01/2016 21:20,40,0
12/01/2016 21:30,30,0
12/01/2016 21:40,30,20
12/01/2016 21:50,30,10
12/01/2016 22:00,40,0
12/01/2016 22:10,50,10
12/01/2016 22:20,50,0
12/01/2016 22:30,50,0
12/01/2016 22:40,40,0
12/01/2016 22:50,50,0
12/01/2016 23:00,40,0
12/01/2016 23:10,40,0
12/01/2016 23:20,40,0
12/01/2016 23:30,40,0
12/01/2016 23:40,50,0
12/01/2016 23:50,50,0
13/01/2016 00:00,50,0
13/01/2016 00:10,30,0
13/01/2016 00:20,20,0
13/01/2016 00:30,30,0
13/01/2016 00:40,20,0
13/01/2016 00:50,40,0
13/01/2016 01:00,50,0
13/01/2016 01:10,60,0
13/01/2016 01:20,50,0
13/01/2016 01:30,40,0
13/01/2016 01:40,40,0
13/01/2016 01:50,50,0
13/01/2016 02:00,40,0
13/01/2016 02:10,40,0
13/01/2016 02:20,50,0
13/01/2016 02:30,50,0
13/01/2016 02:40,50,0
13/01/2016 02:50,40,0
13/01/2016 03:00,30,0
13/01/2016 03:10,20,0
13/01/2016 03:20,20,0
13/01/2016 03:30,20,0
13/01/2016 03:40,50,0
13/01/2016 03:50,50,0
13/01/2016 04:00,50,0
13/01/2016 04:10,40,0
13/01/2016 04:20,40,0
13/01/2016 04:30,50,0
13/01/2016 04:40,40,0
13/01/2016 04:50,50,0
13/01/2016 05:00,50,0
13/01/2016 05:10,50,0
13/01/2016 05:20,40,0
13/01/2016 05:30,40,0
13/01/2016 05:40,50,0
13/01/2016 05:50,20,0
13/01/2016 06:00,20,0
13/01/2016 06:10,50,0
13/01/2016 06:20,30,10
13/01/2016 06:30,50,10
13/01/2016 06:40,50,10
13/01/2016 06:50,200,0
13/01/2016 07:00,110,10
13/01/2016 07:10,80,10
13/01/2016 07:20,50,0
13/01/2016 07:30,50,0
13/01/2016 07:40,50,0
13/01/2016 07:50,40,0
13/01/2016 08:00,40,0
13/01/2016 08:10,30,0
13/01/2016 08:20,180,20
13/01/2016 08:30,350,30
13/01/2016 08:40,350,20
13/01/2016 08:50,300,30
13/01/2016 09:00,400,20
13/01/2016 09:10,390,30
13/01/2016 09:20,290,30
13/01/2016 09:30,60,30
13/01/2016 09:40,70,20
13/01/2016 09:50,110,30
13/01/2016 10:00,90,20
13/01/2016 10:10,60,20
13/01/2016 10:20,70,20
13/01/2016 10:30,80,20
13/01/2016 10:40,60,0
13/01/2016 10:50,40,10
13/01/2016 11:00,30,10
13/01/2016 11:10,70,10
13/01/2016 11:20,50,10
13/01/2016 11:30,80,10
13/01/2016 11:40,80,10
13/01/2016 11:50,50,0
13/01/2016 12:00,40,0
13/01/2016 12:10,50,0
13/01/2016 12:20,40,0
13/01/2016 12:30,40,0
13/01/2016 12:40,50,0
13/01/2016 12:50,30,0
13/01/2016 13:00,30,0
13/01/2016 13:10,20,0
13/01/2016 13:20,20,0
13/01/2016 13:30,50,0
13/01/2016 13:40,40,0
13/01/2016 13:50,50,0
13/01/2016 14:00,40,0
13/01/2016 14:10,60,0
13/01/2016 14:20,40,0
13/01/2016 14:30,40,0
13/01/2016 14:40,50,0
13/01/2016 14:50,40,0
13/01/2016 15:00,40,0
13/01/2016 15:10,30,0
13/01/2016 15:20,30,0
13/01/2016 15:30,30,0
13/01/2016 15:40,40,0
13/01/2016 15:50,80,0
13/01/2016 16:00,70,0
13/01/2016 16:10,80,0
13/01/2016 16:20,70,0
13/01/2016 16:30,80,0
13/01/2016 16:40,80,0
13/01/2016 16:50,100,0
13/01/2016 17:00,90,0
13/01/2016 17:10,100,10
13/01/2016 17:20,90,0
13/01/2016 17:30,110,0
13/01/2016 17:40,90,10
13/01/2016 17:50,100,0
13/01/2016 18:00,100,10
13/01/2016 18:10,110,0
13/01/2016 18:20,100,10
13/01/2016 18:30,90,10
13/01/2016 18:40,90,10
13/01/2016 18:50,180,10
13/01/2016 19:00,140,0
13/01/2016 19:10,100,10
13/01/2016 19:20,110,20
13/01/2016 19:30,340,20
13/01/2016 19:40,380,20
13/01/2016 19:50,210,30
13/01/2016 20:00,150,20
13/01/2016 20:10,330,20
13/01/2016 20:20,420,20
13/01/2016 20:30,330,20
13/01/2016 20:40,130,20
13/01/2016 20:50,130,20
13/01/2016 21:00,110,20
13/01/2016 21:10,250,10
13/01/2016 21:20,520,0
13/01/2016 21:30,360,0
13/01/2016 21:40,330,0
13/01/2016 21:50,310,0
13/01/2016 22:00,270,0
13/01/2016 22:10,230,0
13/01/2016 22:20,170,10
13/01/2016 22:30,60,0
13/01/2016 22:40,30,0
13/01/2016 22:50,30,0
13/01/2016 23:00,30,0
13/01/2016 23:10,40,0
13/01/2016 23:20,50,0
13/01/2016 23:30,50,0
13/01/2016 23:40,40,0
13/01/2016 23:50,40,0
14/01/2016 00:00,50,0
14/01/2016 00:10,50,0
14/01/2016 00:20,40,0
14/01/2016 00:30,60,0
14/01/2016 00:40,40,0
14/01/2016 00:50,40,0
14/01/2016 01:00,50,0
14/01/2016 01:10,40,0
14/01/2016 01:20,30,0
14/01/2016 01:30,30,0
14/01/2016 01:40,30,0
14/01/2016 01:50,40,0
14/01/2016 02:00,40,0
14/01/2016 02:10,50,0
14/01/2016 02:20,40,0
14/01/2016 02:30,40,0
14/01/2016 02:40,40,0
14/01/2016 02:50,50,0
14/01/2016 03:00,50,0
14/01/2016 03:10,50,0
14/01/2016 03:20,40,0
14/01/2016 03:30,50,0
14/01/2016 03:40,40,0
14/01/2016 03:50,40,0
14/01/2016 04:00,20,0
14/01/2016 04:10,30,0
14/01/2016 04:20,30,0
14/01/2016 04:30,40,0
14/01/2016 04:40,50,0
14/01/2016 04:50,40,0
14/01/2016 05:00,40,0
14/01/2016 05:10,50,0
14/01/2016 05:20,40,0
14/01/2016 05:30,50,0
14/01/2016 05:40,50,0
14/01/2016 05:50,40,0
14/01/2016 06:00,50,0
14/01/2016 06:10,40,0
14/01/2016 06:20,40,0
14/01/2016 06:30,40,0
14/01/2016 06:40,40,0
14/01/2016 06:50,30,10
14/01/2016 07:00,70,10
14/01/2016 07:10,360,20
14/01/2016 07:20,400,10
14/01/2016 07:30,70,10
14/01/2016 07:40,70,0
14/01/2016 07:50,390,0
14/01/2016 08:00,100,0
14/01/2016 08:10,80,10
14/01/2016 08:20,70,0
14/01/2016 08:30,170,10
14/01/2016 08:40,360,0
14/01/2016 08:50,180,10
14/01/2016 09:00,130,0
14/01/2016 09:10,70,20
14/01/2016 09:20,70,10
14/01/2016 09:30,180,20
14/01/2016 09:40,170,20
14/01/2016 09:50,390,30
14/01/2016 10:00,420,20
14/01/2016 10:10,340,20
14/01/2016 10:20,550,10
14/01/2016 10:30,690,10
14/01/2016 10:40,620,10
14/01/2016 10:50,610,10
14/01/2016 11:00,490,10
14/01/2016 11:10,260,20
14/01/2016 11:20,240,10
14/01/2016 11:30,220,10
14/01/2016 11:40,130,10
14/01/2016 11:50,90,10
14/01/2016 12:00,290,10
14/01/2016 12:10,410,0
14/01/2016 12:20,320,0
14/01/2016 12:30,260,0
14/01/2016 12:40,210,0
14/01/2016 12:50,210,0
14/01/2016 13:00,140,0
14/01/2016 13:10,60,0
14/01/2016 13:20,50,0
14/01/2016 13:30,60,0
14/01/2016 13:40,50,0
14/01/2016 13:50,60,0
14/01/2016 14:00,140,0
14/01/2016 14:10,270,0
14/01/2016 14:20,200,0
14/01/2016 14:30,60,0
14/01/2016 14:40,50,0
14/01/2016 14:50,60,0
14/01/2016 15:00,80,0
14/01/2016 15:10,50,0
14/01/2016 15:20,40,0
14/01/2016 15:30,50,0
14/01/2016 15:40,50,0
14/01/2016 15:50,40,0
14/01/2016 16:00,30,0
14/01/2016 16:10,30,0
14/01/2016 16:20,200,0
14/01/2016 16:30,450,0
14/01/2016 16:40,400,0
14/01/2016 16:50,740,0
14/01/2016 17:00,910,0
14/01/2016 17:10,610,10
14/01/2016 17:20,510,10
14/01/2016 17:30,190,0
14/01/2016 17:40,110,10
14/01/2016 17:50,100,0
14/01/2016 18:00,90,10
14/01/2016 18:10,110,10
14/01/2016 18:20,100,0
14/01/2016 18:30,110,10
14/01/2016 18:40,100,10
14/01/2016 18:50,790,10
14/01/2016 19:00,380,10
14/01/2016 19:10,360,10
14/01/2016 19:20,360,10
14/01/2016 19:30,100,10
14/01/2016 19:40,100,10
14/01/2016 19:50,90,10
14/01/2016 20:00,90,20
14/01/2016 20:10,110,10
14/01/2016 20:20,140,30
14/01/2016 20:30,110,20
14/01/2016 20:40,100,20
14/01/2016 20:50,110,20
14/01/2016 21:00,130,20
14/01/2016 21:10,140,30
14/01/2016 21:20,130,20
14/01/2016 21:30,120,20
14/01/2016 21:40,100,10
14/01/2016 21:50,80,0
14/01/2016 22:00,50,10
14/01/2016 22:10,50,0
14/01/2016 22:20,50,0
14/01/2016 22:30,40,0
14/01/2016 22:40,50,0
14/01/2016 22:50,50,0
14/01/2016 23:00,50,0
14/01/2016 23:10,40,0
14/01/2016 23:20,30,0
14/01/2016 23:30,30,0
14/01/2016 23:40,40,0
14/01/2016 23:50,40,0
15/01/2016 00:00,50,0
15/01/2016 00:10,60,0
15/01/2016 00:20,50,0
15/01/2016 00:30,60,0
15/01/2016 00:40,50,0
15/01/2016 00:50,50,0
15/01/2016 01:00,50,0
15/01/2016 01:10,50,0
15/01/2016 01:20,50,0
15/01/2016 01:30,50,0
15/01/2016 01:40,60,0
15/01/2016 01:50,50,0
15/01/2016 02:00,50,0
15/01/2016 02:10,50,0
15/01/2016 02:20,50,0
15/01/2016 02:30,40,0
15/01/2016 02:40,50,0
15/01/2016 02:50,40,0
15/01/2016 03:00,30,0
15/01/2016 03:10,40,0
15/01/2016 03:20,30,0
15/01/2016 03:30,60,0
15/01/2016 03:40,50,0
15/01/2016 03:50,50,0
15/01/2016 04:00,40,0
15/01/2016 04:10,50,0
15/01/2016 04:20,60,0
15/01/2016 04:30,50,0
15/01/2016 04:40,50,0
15/01/2016 04:50,50,0
15/01/2016 05:00,50,0
15/01/2016 05:10,40,0
15/01/2016 05:20,50,0
15/01/2016 05:30,50,0
15/01/2016 05:40,50,0
15/01/2016 05:50,60,0
15/01/2016 06:00,50,0
15/01/2016 06:10,40,0
15/01/2016 06:20,50,0
15/01/2016 06:30,50,0
15/01/2016 06:40,50,0
15/01/2016 06:50,30,0
15/01/2016 07:00,70,10
15/01/2016 07:10,50,10
15/01/2016 07:20,50,10
15/01/2016 07:30,50,10
15/01/2016 07:40,50,0
15/01/2016 07:50,40,10
15/01/2016 08:00,50,10
15/01/2016 08:10,50,10
15/01/2016 08:20,150,10
15/01/2016 08:30,390,20
15/01/2016 08:40,390,10
15/01/2016 08:50,380,10
15/01/2016 09:00,400,10
15/01/2016 09:10,370,10
15/01/2016 09:20,310,10
15/01/2016 09:30,40,10
15/01/2016 09:40,50,0
15/01/2016 09:50,70,10
15/01/2016 10:00,60,10
15/01/2016 10:10,90,10
15/01/2016 10:20,60,10
15/01/2016 10:30,60,20
15/01/2016 10:40,100,0
15/01/2016 10:50,380,10
15/01/2016 11:00,390,10
15/01/2016 11:10,130,10
15/01/2016 11:20,60,0
15/01/2016 11:30,60,10
15/01/2016 11:40,50,10
15/01/2016 11:50,60,10
15/01/2016 12:00,60,10
15/01/2016 12:10,240,0
15/01/2016 12:20,80,10
15/01/2016 12:30,80,0
15/01/2016 12:40,400,0
15/01/2016 12:50,400,0
15/01/2016 13:00,460,10
15/01/2016 13:10,170,0
15/01/2016 13:20,210,0
15/01/2016 13:30,190,0
15/01/2016 13:40,70,0
15/01/2016 13:50,80,0
15/01/2016 14:00,60,10
15/01/2016 14:10,70,0
15/01/2016 14:20,60,0
15/01/2016 14:30,70,0
15/01/2016 14:40,60,0
15/01/2016 14:50,60,0
15/01/2016 15:00,60,0
15/01/2016 15:10,60,0
15/01/2016 15:20,60,0
15/01/2016 15:30,50,10
15/01/2016 15:40,50,0
15/01/2016 15:50,60,0
15/01/2016 16:00,50,0
15/01/2016 16:10,50,0
15/01/2016 16:20,70,0
15/01/2016 16:30,50,0
15/01/2016 16:40,60,0
15/01/2016 16:50,60,0
15/01/2016 17:00,90,0
15/01/2016 17:10,100,10
15/01/2016 17:20,90,0
15/01/2016 17:30,100,10
15/01/2016 17:40,110,0
15/01/2016 17:50,100,10
15/01/2016 18:00,80,0
15/01/2016 18:10,110,10
15/01/2016 18:20,260,10
15/01/2016 18:30,350,10
15/01/2016 18:40,500,10
15/01/2016 18:50,370,10
15/01/2016 19:00,330,20
15/01/2016 19:10,100,10
15/01/2016 19:20,110,20
15/01/2016 19:30,140,20
15/01/2016 19:40,310,30
15/01/2016 19:50,330,20
15/01/2016 20:00,190,20
15/01/2016 20:10,160,20
15/01/2016 20:20,160,30
15/01/2016 20:30,480,10
15/01/2016 20:40,280,20
15/01/2016 20:50,130,20
15/01/2016 21:00,150,20
15/01/2016 21:10,140,20
15/01/2016 21:20,130,20
15/01/2016 21:30,130,20
15/01/2016 21:40,340,20
15/01/2016 21:50,490,10
15/01/2016 22:00,230,10
15/01/2016 22:10,360,10
15/01/2016 22:20,410,10
15/01/2016 22:30,150,0
15/01/2016 22:40,80,10
15/01/2016 22:50,80,10
15/01/2016 23:00,70,10
15/01/2016 23:10,70,10
15/01/2016 23:20,70,0
15/01/2016 23:30,60,10
15/01/2016 23:40,60,10
15/01/2016 23:50,50,10
16/01/2016 00:00,50,0
16/01/2016 00:10,50,0
16/01/2016 00:20,30,0
16/01/2016 00:30,20,0
16/01/2016 00:40,40,0
16/01/2016 00:50,50,0
16/01/2016 01:00,50,0
16/01/2016 01:10,50,0
16/01/2016 01:20,60,0
16/01/2016 01:30,50,0
16/01/2016 01:40,60,0
16/01/2016 01:50,50,0
16/01/2016 02:00,40,0
16/01/2016 02:10,50,0
16/01/2016 02:20,50,0
16/01/2016 02:30,50,0
16/01/2016 02:40,50,0
16/01/2016 02:50,40,0
16/01/2016 03:00,30,0
16/01/2016 03:10,30,0
16/01/2016 03:20,40,0
16/01/2016 03:30,50,0
16/01/2016 03:40,50,0
16/01/2016 03:50,50,0
16/01/2016 04:00,50,0
16/01/2016 04:10,60,0
16/01/2016 04:20,50,0
16/01/2016 04:30,50,0
16/01/2016 04:40,40,0
16/01/2016 04:50,50,0
16/01/2016 05:00,50,0
16/01/2016 05:10,50,0
16/01/2016 05:20,50,0
16/01/2016 05:30,30,0
16/01/2016 05:40,30,0
16/01/2016 05:50,30,0
16/01/2016 06:00,50,0
16/01/2016 06:10,50,0
16/01/2016 06:20,40,0
16/01/2016 06:30,60,0
16/01/2016 06:40,60,0
16/01/2016 06:50,50,0
16/01/2016 07:00,50,0
16/01/2016 07:10,50,0
16/01/2016 07:20,220,0
16/01/2016 07:30,390,10
16/01/2016 07:40,380,10
16/01/2016 07:50,390,10
16/01/2016 08:00,390,10
16/01/2016 08:10,240,10
16/01/2016 08:20,40,10
16/01/2016 08:30,70,10
16/01/2016 08:40,50,0
16/01/2016 08:50,50,0
16/01/2016 09:00,70,0
16/01/2016 09:10,60,0
16/01/2016 09:20,70,0
16/01/2016 09:30,60,0
16/01/2016 09:40,50,0
16/01/2016 09:50,60,0
16/01/2016 10:00,60,0
